"lncRNAs","GNCoding","Genes","GPCoding","miRNAs"
"ENSG00000130600","H19","ENSG00000103855","CD276","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000138134","STAMBPL1","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000155849","ELMO1","hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000109189","USP46","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000106772","PRUNE2","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000099250","NRP1","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000166833","NAV2","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-107,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-103a-3p,hsa-miR-130b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000140511","HAPLN3","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000143153","ATP1B1","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000152413","HOMER1","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000143061","IGSF3","hsa-miR-107,hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-103a-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000187605","TET3","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000146374","RSPO3","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000187678","SPRY4","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000182752","PAPPA","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000134013","LOXL2","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000055163","CYFIP2","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000139625","MAP3K12","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000136295","TTYH3","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000091490","SEL1L3","hsa-miR-107,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-103a-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000151693","ASAP2","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000164056","SPRY1","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-107,hsa-miR-103a-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000109436","TBC1D9","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000138650","PCDH10","hsa-miR-130a-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000168487","BMP1","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000107485","GATA3","hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000106462","EZH2","hsa-miR-138-5p"
"ENSG00000130600","H19","ENSG00000103647","CORO2B","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000198720","ANKRD13B","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-138-5p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000153162","BMP6","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000109654","TRIM2","hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000204262","COL5A2","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000104267","CA2","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
